"partnerId","violation","violation_count"
"15002","InvalidIp","225234"
"15002","FailedConvertPayloadToJson","14"
"15047","UnknownCurrency","3624034"
"15047","OutOfRangeCpm","124"
"15047","FailedToConvertPayloadToJsonArray","1"
"15072","OutOfRangeCpm","107"
"15072","InternalServerError","88"
"15072","UnsupportedHttpMethod","3"
"15072","FailedToConvertPayloadToJsonArray","2"
"15127","OutOfRangeCpm","6324"
"15127","FailedToConvertPayloadToJsonArray","11"
"15127","UnsupportedHttpMethod","9"
"15154","FailedToConvertPayloadToJsonArray","1"
"15195","UnknownCurrency","9"
"15195","FailedToConvertPayloadToJsonArray","4"
"15195","UnsupportedHttpMethod","1"
"15281","InternalServerError","157"
"15281","OutOfRangeCpm","3"
"15281","FailedToConvertPayloadToJsonArray","2"
"15283","UnsupportedHttpMethod","11"
"15283","UnknownCurrency","5"
"15283","InternalServerError","3"
"15287","OutOfRangeCpm","13"
"15318","InternalServerError","15"
"15318","UnsupportedHttpMethod","3"
"15318","FailedToConvertPayloadToJsonArray","3"
"15328","EmptyDataReceived","13"
"15381","OutOfRangeCpm","14"
"15381","FailedToConvertPayloadToJsonArray","5"
"15381","UnsupportedHttpMethod","2"
"15389","UnsupportedHttpMethod","380"
"15389","UnknownCurrency","3"
"15391","OutOfRangeCpm","7784"
"15391","FailedToConvertPayloadToJsonArray","4"
"15398","UnsupportedHttpMethod","14"
"15399","FailedToConvertPayloadToJsonArray","1"
"15400","UnknownCurrency","1522"
"15400","FailedToConvertPayloadToJsonArray","1"
"15579","UnknownCurrency","69842"
"15579","OutOfRangeCpm","667"
"15579","InternalServerError","1"
"15579","FailedToConvertPayloadToJsonArray","1"
"15605","EmptyDataReceived","262243"
"15605","InvalidIp","2905"
"15605","FailedConvertPayloadToJson","599"
"15607","FailedToConvertPayloadToJsonArray","1"
"15617","UnknownCurrency","1445137"
"15617","OutOfRangeCpm","1462"
"15617","UnsupportedHttpMethod","32"
"15617","InternalServerError","12"
"15617","FailedToConvertPayloadToJsonArray","4"
"15623","OutOfRangeCpm","5"
"15672","InternalServerError","13"
"15696","InternalServerError","8"
"15750","OutOfRangeCpm","135787"
"15750","InternalServerError","973"
"15750","UnsupportedHttpMethod","4"
"15750","FailedToConvertPayloadToJsonArray","4"
"15754","OutOfRangeCpm","7719"
"15754","InternalServerError","7"
"15804","EmptyDataReceived","50"
"15804","OutOfRangeCpm","39"
"15804","FailedToConvertPayloadToJsonArray","1"
"15804","UnsupportedHttpMethod","1"
"15809","InternalServerError","12"
"15809","FailedToConvertPayloadToJsonArray","1"
"15812","OutOfRangeCpm","1"
"15814","MissingCurrency","513"
"15814","InternalServerError","103"
"15814","FailedToConvertPayloadToJsonArray","2"
"15819","MissingCpm","3609"
"15822","InternalServerError","651"
"15822","UnsupportedHttpMethod","2"
"15822","FailedToConvertPayloadToJsonArray","2"
"15824","InternalServerError","21"
"15827","InvalidIp","4"
"15831","InternalServerError","105"
"15855","InvalidIp","14"
"15857","OutOfRangeCpm","6720"
"15864","FailedConvertPayloadToJson","11"
"15867","InvalidIp","89"
"15867","OutOfRangeCpm","39"
"15871","EmptyDataReceived","364756"
"15871","InvalidIp","32"
"15871","FailedConvertPayloadToJson","4"
"15882","InternalServerError","12"
"15899","UnknownCurrency","257726"
"15899","OutOfRangeCpm","50"
"15899","FailedToConvertPayloadToJsonArray","1"
"15903","InternalServerError","34"
"15905","EmptyDataReceived","37364"
"15905","InvalidIp","57"
"15905","FailedConvertPayloadToJson","2"
"15927","OutOfRangeCpm","1268"
"15927","InternalServerError","87"
"15930","OutOfRangeCpm","137"
"15943","UnsupportedHttpMethod","2"
"15943","InternalServerError","1"
"15944","OutOfRangeCpm","2276"
"15945","EmptyDataReceived","15850"
"15958","MissingCpm","28"
"15958","InternalServerError","10"
"15958","MissingCurrency","1"
"15979","MissingCurrency","1211"
"15979","InternalServerError","17"
,"PartnerIsNull","118338"
,"EmptyDataReceived","118230"
,"MissingImpressionsCountParamRequest","118229"
,"UnsupportedHttpMethod","2650"
,"FailedToConvertPayloadToJsonArray","60"
